DATE,OIL_PRICE
1/3/1986,25.78
1/10/1986,25.99
1/17/1986,24.57
1/24/1986,20.31
1/31/1986,19.69
2/7/1986,16.72
2/14/1986,16.25
2/21/1986,14.39
2/28/1986,14.25
3/7/1986,12.27
3/14/1986,13.07
3/21/1986,13.45
3/28/1986,12
4/4/1986,11.44
4/11/1986,13.46
4/18/1986,12.16
4/25/1986,13.44
5/2/1986,13.76
5/9/1986,15.08
5/16/1986,15.74
5/23/1986,16.37
5/30/1986,14.64
6/6/1986,13.25
6/13/1986,13.21
6/20/1986,13.82
6/27/1986,13.56
7/4/1986,12.23
7/11/1986,11.13
7/18/1986,12.17
7/25/1986,11.31
8/1/1986,11.45
8/8/1986,14.63
8/15/1986,15.39
8/22/1986,15.3
8/29/1986,15.77
9/5/1986,16.07
9/12/1986,15.13
9/19/1986,14.23
9/26/1986,14.3
10/3/1986,15.02
10/10/1986,15.16
10/17/1986,14.69
10/24/1986,15.01
10/31/1986,14.53
11/7/1986,14.98
11/14/1986,15.45
11/21/1986,15.4
11/28/1986,15.01
12/5/1986,15.2
12/12/1986,15.34
12/19/1986,16.23
12/26/1986,17.05
1/2/1987,17.86
1/9/1987,18.38
1/16/1987,19.04
1/23/1987,18.68
1/30/1987,18.62
2/6/1987,18.45
2/13/1987,18.14
2/20/1987,17.63
2/27/1987,16.75
3/6/1987,17.47
3/13/1987,18.31
3/20/1987,18.72
3/27/1987,18.59
4/3/1987,18.77
4/10/1987,18.6
4/17/1987,18.3
4/24/1987,18.94
5/1/1987,18.76
5/8/1987,19.14
5/15/1987,19.52
5/22/1987,19.85
5/29/1987,19.34
6/5/1987,19.73
6/12/1987,19.88
6/19/1987,20.38
6/26/1987,20.21
7/3/1987,20.46
7/10/1987,21.06
7/17/1987,22.03
7/24/1987,21.5
7/31/1987,21.25
8/7/1987,21.52
8/14/1987,20.8
8/21/1987,19.61
8/28/1987,19.42
9/4/1987,19.56
9/11/1987,19.38
9/18/1987,19.63
9/25/1987,19.57
10/2/1987,19.64
10/9/1987,19.65
10/16/1987,19.82
10/23/1987,19.98
10/30/1987,20.03
11/6/1987,19.17
11/13/1987,18.88
11/20/1987,18.6
11/27/1987,18.83
12/4/1987,18.62
12/11/1987,18.34
12/18/1987,16.35
12/25/1987,16.23
1/1/1988,16.78
1/8/1988,17.6
1/15/1988,16.79
1/22/1988,17.2
1/29/1988,16.92
2/5/1988,17.08
2/12/1988,17.24
2/19/1988,16.7
2/26/1988,16.33
3/4/1988,15.64
3/11/1988,15.74
3/18/1988,16.08
3/25/1988,16.58
4/1/1988,17.07
4/8/1988,16.89
4/15/1988,18.15
4/22/1988,18.16
4/29/1988,18.25
5/6/1988,17.34
5/13/1988,17.51
5/20/1988,17.53
5/27/1988,17.29
6/3/1988,17.55
6/10/1988,17.15
6/17/1988,16.58
6/24/1988,15.95
7/1/1988,15.47
7/8/1988,15.45
7/15/1988,14.64
7/22/1988,15.86
7/29/1988,16.14
8/5/1988,15.45
8/12/1988,15.67
8/19/1988,15.58
8/26/1988,15.54
9/2/1988,15.13
9/9/1988,14.4
9/16/1988,14.75
9/23/1988,14.9
9/30/1988,13.94
10/7/1988,12.85
10/14/1988,14.08
10/21/1988,14.76
10/28/1988,13.44
11/4/1988,13.75
11/11/1988,13.93
11/18/1988,13.75
11/25/1988,14.43
12/2/1988,15.33
12/9/1988,15.61
12/16/1988,16.31
12/23/1988,17.04
12/30/1988,16.99
1/6/1989,17.35
1/13/1989,18.06
1/20/1989,19.05
1/27/1989,17.85
2/3/1989,17.41
2/10/1989,17.39
2/17/1989,18.08
2/24/1989,18.46
